id,title,description,availability,condition,price,link,image_link,brand,product_type
bh-central-park-5p,"5 pièces – Central Park, Beer Sheva","Programme neuf à Central Park, Beer Sheva. Promoteur reconnu. Appartements de 5 pièces. Livraison 12/décembre 2027/2028. À partir de 1 975 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1975000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-central-park-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-central-park-5p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-park-anahal-3p,"3 pièces – Park Anahal, Beer Sheva","Programme neuf à Park Anahal, Beer Sheva. Promoteur reconnu. Appartements de 3 pièces. Livraison 10/2026. À partir de 1 409 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1409000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-park-anahal-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-park-anahal-3p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-park-anahal-4p,"4 pièces – Park Anahal, Beer Sheva","Programme neuf à Park Anahal, Beer Sheva. Promoteur reconnu. Appartements de 4 pièces. Livraison 10/2026. À partir de 1 650 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1650000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-park-anahal-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-park-anahal-4p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-park-anahal-5p,"5 pièces – Park Anahal, Beer Sheva","Programme neuf à Park Anahal, Beer Sheva. Promoteur reconnu. Appartements de 5 pièces. Livraison 10/2026. À partir de 1 800 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1800000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-park-anahal-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-park-anahal-5p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-quartier-du-parc-face-au-lac-3p,"3 pièces – Quartier du parc, face au lac, Beer Sheva","Programme neuf à Quartier du parc, face au lac, Beer Sheva. Promoteur reconnu. Appartements de 3 pièces, 86 m². Livraison immédiate. À partir de 1 685 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1685000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-quartier-du-parc-face-au-lac-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-quartier-du-parc-face-au-lac-3p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-quartier-du-parc-face-au-lac-4p,"4 pièces – Quartier du parc, face au lac, Beer Sheva","Programme neuf à Quartier du parc, face au lac, Beer Sheva. Promoteur reconnu. Appartements de 4 pièces, 109 m². Livraison immédiate. À partir de 2 200 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2200000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-quartier-du-parc-face-au-lac-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-quartier-du-parc-face-au-lac-4p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-quartier-du-parc-face-au-lac-5p,"5 pièces – Quartier du parc, face au lac, Beer Sheva","Programme neuf à Quartier du parc, face au lac, Beer Sheva. Promoteur reconnu. Appartements de 5 pièces, de 125 à 140 m². Livraison immédiate. À partir de 2 500 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2500000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-quartier-du-parc-face-au-lac-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-quartier-du-parc-face-au-lac-5p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
bh-ramat-adar-5p,"5 pièces – Ramat Adar, Givat Shmuel","Programme neuf à Ramat Adar, Givat Shmuel. Promoteur reconnu. Appartements de 5 pièces. Livraison 02/2028. À partir de 3 830 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3830000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ramat-adar-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ramat-adar-5p.jpg,BH Nadlan,Immobilier neuf > Givat Shmuel
bh-givatayim-im-3p,"3 pièces – Givatayim IM, Givatayim","Programme neuf à Givatayim IM, Givatayim. Promoteur reconnu. Appartements de 3 pièces. Livraison 03/2029. À partir de 3 900 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3900000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-givatayim-im-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-givatayim-im-3p.jpg,BH Nadlan,Immobilier neuf > Givatayim
bh-givatayim-im-4p,"4 pièces – Givatayim IM, Givatayim","Programme neuf à Givatayim IM, Givatayim. Promoteur reconnu. Appartements de 4 pièces. Livraison 03/2029. À partir de 4 200 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,4200000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-givatayim-im-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-givatayim-im-4p.jpg,BH Nadlan,Immobilier neuf > Givatayim
bh-givatayim-im-5p,"5 pièces – Givatayim IM, Givatayim","Programme neuf à Givatayim IM, Givatayim. Promoteur reconnu. Appartements de 5 pièces. Livraison 03/2029. À partir de 5 200 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,5200000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-givatayim-im-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-givatayim-im-5p.jpg,BH Nadlan,Immobilier neuf > Givatayim
bh-avital-3-2p,"2 pièces – Avital 3, Jerusalem","Programme neuf à Avital 3, quartier Makor Haim, Jerusalem. Promoteur reconnu. Appartements de 2 pièces, de 52 à 61 m². Livraison décembre 2027 ou juin 2028. Avec parking et cave selon les appartements. À partir de 2 380 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2380000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-avital-3-2p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-avital-3-2p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
